solidity_test,status,solar_suite,solar_src,solar_test,notes
abiEncodeDecode/abi_decode_calldata.sol,ported,abi-encode-decode,src/AbiDecodeCalldata.sol,,ABI decode from calldata
abiEncodeDecode/abi_decode_simple.sol,ported,abi-encode-decode,src/AbiDecodeSimple.sol,,ABI decoder parity risk
abiEncodeDecode/abi_decode_simple_storage.sol,ported,abi-encode-decode,src/AbiDecodeSimpleStorage.sol,,ABI decode from storage
abiEncodeDecode/abi_encode_call.sol,ported,abi-encode-decode,src/AbiEncodeCall.sol,,abi.encodeCall + UDVT + struct
abiEncodeDecode/abi_encode_call_declaration.sol,ported,abi-encode-decode,src/AbiEncodeCallDeclaration.sol,test/AbiEncodeCallDeclaration.t.sol,abi.encodeCall with inherited/overridden functions
abiEncodeDecode/abi_encode_call_is_consistent.sol,ported,abi-encode-decode,src/AbiEncodeCallIsConsistent.sol,test/AbiEncodeCallIsConsistent.t.sol,abi.encodeCall consistency with function pointers
abiEncodeDecode/abi_encode_call_memory.sol,ported,abi-encode-decode,src/AbiEncodeCallMemory.sol,,abi.encodeCall with function pointers
abiEncodeDecode/abi_encode_call_special_args.sol,ported,abi-encode-decode,src/AbiEncodeCallSpecialArgs.sol,test/AbiEncodeCallSpecialArgs.t.sol,"abi.encodeCall with no-args, arrays, and uint args"
abiEncodeDecode/abi_encode_call_uint_bytes.sol,ported,abi-encode-decode,src/AbiEncodeCallUintBytes.sol,test/AbiEncodeCallUintBytes.t.sol,abi.encodeCall with uint16/bytes2 type coercions
abiEncodeDecode/abi_encode_empty_string_v1.sol,ported,abi-encode-decode,src/AbiEncodeEmptyString.sol,test/AbiEncodeEmptyString.t.sol,"abi.encode("""") and encodePacked("""") with empty string; ABIEncoderV1Only flag dropped, behavior identical in v2"
abiEncodeDecode/abi_encode_with_selector.sol,ported,abi-encode-decode,src/AbiEncodeWithSelector.sol,,Checks selector prefix and equivalence
abiEncodeDecode/abi_encode_with_selectorv2.sol,ported,abi-encode-decode,src/AbiEncodeWithSelectorV2.sol,test/AbiEncodeWithSelectorV2.t.sol,abi.encodeWithSelector with structs and primitive types
abiEncodeDecode/abi_encode_with_signature.sol,ported,abi-encode-decode,src/AbiEncodeWithSignature.sol,,Selector hashing from signature
abiEncodeDecode/abi_encode_with_signaturev2.sol,ported,abi-encode-decode,src/AbiEncodeWithSignatureV2.sol,test/AbiEncodeWithSignatureV2.t.sol,abi.encodeWithSignature with various arg types and storage/memory string signatures
abiEncodeDecode/contract_array.sol,ported,abi-encode-decode,src/ContractArray.sol,test/ContractArray.t.sol,abi.encode/decode with contract[] (address array)
abiEncodeDecode/contract_array_v2.sol,ported,abi-encode-decode,src/ContractArrayV2.sol,test/ContractArrayV2.t.sol,abi decode contract[] with v2 encoder; invalid address revert
abiEncodeDecode/offset_overflow_in_array_decoding.sol,ported,abi-encode-decode,src/OffsetOverflowInArrayDecoding.sol,test/OffsetOverflowInArrayDecoding.t.sol,crafted corrupt ABI causes overflow in array decode pointer arithmetic
abiEncodeDecode/offset_overflow_in_array_decoding_2.sol,ported,abi-encode-decode,src/OffsetOverflowInArrayDecoding2.sol,test/OffsetOverflowInArrayDecoding2.t.sol,within-array pointer overflow via crafted corrupt ABI data
abiEncodeDecode/offset_overflow_in_array_decoding_3.sol,ported,abi-encode-decode,src/OffsetOverflowInArrayDecoding3.sol,test/OffsetOverflowInArrayDecoding3.t.sol,max-value offset fields in corrupt ABI cause overflow
abiEncoderV1/abi_decode_dynamic_array.sol,pending,,,,
abiEncoderV1/abi_decode_fixed_arrays.sol,pending,,,,
abiEncoderV1/abi_decode_static_array.sol,pending,,,,
abiEncoderV1/abi_decode_static_array_v2.sol,pending,,,,
